Book_ID,Title,Synopsis,Genre_Ratios,Subgenres
36,"The Quantum Enigma","A mind-bending journey into quantum physics and the mysteries of existence where science meets philosophy.","{'Sci-Fi': 0.6, 'Mystery': 0.2, 'Drama': 0.2}","{'Sci-Fi': ['Quantum Mechanics'], 'Mystery': ['Philosophical Mystery'], 'Drama': ['Existential Drama']}"
37,"Shattered Realms","A fractured universe forces characters to navigate shattered dimensions and confront inner demons.","{'Fantasy': 0.5, 'Sci-Fi': 0.3, 'Adventure': 0.2}","{'Fantasy': ['High Fantasy'], 'Sci-Fi': ['Alternate Universe'], 'Adventure': ['Epic Quest']}"
38,"Chronicles of the Lost","An expansive saga chronicling the rise and fall of forgotten civilizations and lost treasures.","{'Historical Fiction': 0.5, 'Adventure': 0.3, 'Mystery': 0.2}","{'Historical Fiction': ['Ancient History'], 'Adventure': ['Treasure Hunt'], 'Mystery': ['Enigma']}"
39,"Rising Shadows","In a world where darkness looms, a hero emerges to challenge the rising tide of malevolence.","{'Thriller': 0.5, 'Action': 0.3, 'Sci-Fi': 0.2}","{'Thriller': ['Action Thriller'], 'Action': ['Martial Arts'], 'Sci-Fi': ['Dystopian']}"
40,"Twilight Prophecy","A prophetic tale where the twilight of an era heralds the dawn of a new age filled with mystery.","{'Fantasy': 0.5, 'Mystery': 0.3, 'Drama': 0.2}","{'Fantasy': ['Mythic'], 'Mystery': ['Prophecy'], 'Drama': ['Epic Drama']}"
41,"Eternal Echoes","A haunting narrative that resonates through time, echoing voices of those long gone.","{'Drama': 0.5, 'Mystery': 0.3, 'Fantasy': 0.2}","{'Drama': ['Tragic Drama'], 'Mystery': ['Enigma'], 'Fantasy': ['Mythic']}"
42,"Nebula's Edge","On the fringes of a sprawling nebula, explorers confront unknown dangers and breathtaking beauty.","{'Sci-Fi': 0.5, 'Adventure': 0.3, 'Mystery': 0.2}","{'Sci-Fi': ['Space Opera'], 'Adventure': ['Cosmic Quest'], 'Mystery': ['Enigma']}"
43,"Fragments of Forever","A fragmented narrative where multiple timelines converge to tell a story of eternal love and loss.","{'Romance': 0.5, 'Sci-Fi': 0.3, 'Drama': 0.2}","{'Romance': ['Epic Romance'], 'Sci-Fi': ['Time Travel'], 'Drama': ['Melodrama']}"
44,"The Enigma Code","A cryptic puzzle entwines the fate of nations, challenging the intellect of those who dare decode it.","{'Mystery': 0.6, 'Thriller': 0.2, 'Sci-Fi': 0.2}","{'Mystery': ['Cryptic Puzzle'], 'Thriller': ['Espionage'], 'Sci-Fi': ['Techno Thriller']}"
45,"Shadows of Eternity","A tale that transcends time where ancient legends and modern mysteries converge in a timeless dance.","{'Fantasy': 0.5, 'Mystery': 0.3, 'Drama': 0.2}","{'Fantasy': ['Epic Fantasy'], 'Mystery': ['Legend'], 'Drama': ['Historical Drama']}"
46,"Legacy of the Arcane","An arcane legacy challenges the boundaries of magic and science in a world teetering on the brink of chaos.","{'Fantasy': 0.6, 'Sci-Fi': 0.2, 'Mystery': 0.2}","{'Fantasy': ['Dark Fantasy'], 'Sci-Fi': ['Cyber Fantasy'], 'Mystery': ['Occult Mystery']}"
47,"Dreams of the Distant","A visionary journey that blurs the lines between dreams and reality, set against a vast mysterious landscape.","{'Sci-Fi': 0.4, 'Fantasy': 0.4, 'Drama': 0.2}","{'Sci-Fi': ['Space Opera'], 'Fantasy': ['Mythic'], 'Drama': ['Tragic Drama']}"
48,"The Celestial Paradox","A perplexing narrative where celestial bodies and ancient prophecies collide to shape destinies.","{'Sci-Fi': 0.5, 'Fantasy': 0.3, 'Mystery': 0.2}","{'Sci-Fi': ['Cosmic'], 'Fantasy': ['Mythic'], 'Mystery': ['Prophecy']}"
49,"Pathways of the Past","A historical journey where modern lives intersect with age-old traditions and forgotten lore.","{'Historical Fiction': 0.5, 'Drama': 0.3, 'Mystery': 0.2}","{'Historical Fiction': ['Period Drama'], 'Drama': ['Family Saga'], 'Mystery': ['Enigma']}"
50,"Mystic Realms","A voyage into fantastical realms where magic, mystery, and adventure collide to create a timeless saga.","{'Fantasy': 0.5, 'Adventure': 0.3, 'Mystery': 0.2}","{'Fantasy': ['High Fantasy'], 'Adventure': ['Quest'], 'Mystery': ['Enigma']}"
